feature,lgb_importance,cat_importance,avg_importance,importance_diff
weekofyear_sin,1.4611573083141025,1.028752245383832,1.2449547768489673,0.4324050629302705
base_price_poly2_discount_pct,0.597798131266615,1.8644485135508289,1.231123322408722,1.266650382284214
weekofyear_cos,1.376151652859016,1.038227490067948,1.207189571463482,0.3379241627910681
lag1_x_month_sin,1.2243835906700498,1.1752287564562278,1.1998061735631387,0.04915483421382194
num_orders_rolling_std_14,0.8668634636652515,1.4117070554711315,1.1392852595681915,0.54484359180588
emailer_for_promotion_rolling_mean_8,1.167870602796994,1.037805579680367,1.1028380912386804,0.13006502311662715
center_orders_std,1.0675987588040132,1.0994774669916005,1.083538112897807,0.03187870818758731
homepage_featured_rolling_mean_5,1.4734711529479527,0.6882504658508279,1.0808608093993903,0.7852206870971248
homepage_featured_rolling_mean_7,1.1577883853818636,0.9611018871665403,1.059445136274202,0.19668649821532325
cuisine_Italian,0.8639465490711351,1.0033613565173314,0.9336539527942332,0.13941480744619628
num_orders_rolling_std_3,0.9369681628637251,0.9168415626541043,0.9269048627589147,0.02012660020962076
lag1_x_weekofyear_sin,1.1292880240222105,0.7156464281650818,0.9224672260936462,0.4136415958571287
homepage_featured_rolling_mean_8,0.5889827287302573,1.2012224660757314,0.8951025974029942,0.6122397373454741
homepage_featured_rolling_mean_3,0.9013239146642207,0.8888565037906997,0.8950902092274602,0.01246741087352099
meal_orders_mean,0.7729687901485404,1.0050846129553161,0.8890267015519282,0.23211582280677578
center_meal_orders_mean_div,0.8079084911929393,0.8649180621529987,0.836413276672969,0.05700957096005943
emailer_for_promotion_rolling_mean_13,0.9076337936453087,0.7620218012465912,0.8348277974459499,0.14561199239871747
homepage_featured_rolling_mean_13,0.8251368802134449,0.8398012102235185,0.8324690452184818,0.014664330010073612
homepage_featured_rolling_mean_21,1.0103054925503008,0.6474440935723953,0.828874793061348,0.3628613989779055
cuisine_Continental,1.0273053820573532,0.5768844366756036,0.8020949093664784,0.4504209453817496
emailer_for_promotion_rolling_mean_5,0.8097864624668147,0.7543790731400826,0.7820827678034487,0.05540738932673217
num_orders_rolling_std_10,0.9123785129792987,0.5707666330020507,0.7415725729906747,0.34161187997724807
cuisine_Thai,0.4888059635529972,0.918849568218026,0.7038277658855117,0.4300436046650288
emailer_for_promotion_rolling_sum_4,0.5030909427380135,0.776392141993927,0.6397415423659703,0.27330119925591356
center_type_TYPE_B,0.49912694493810567,0.7421284921949723,0.620627718566539,0.24300154725686668
num_orders_rolling_std_5,0.5941747224312212,0.544307724474889,0.5692412234530551,0.049866997956332204
weekofyear_centered_sq,0.39175192148441856,0.7456502368908587,0.5687010791876387,0.3538983154064402
month_sin,0.5087557589619232,0.6131871091962948,0.560971434079109,0.10443135023437167
category_Extras,0.6390712765274308,0.44329174412186534,0.541181510324648,0.19577953240556545
emailer_for_promotion_rolling_sum_8,0.14201189639127676,0.939435257359219,0.5407235768752479,0.7974233609679422
emailer_for_promotion_rolling_sum_12,0.5513785907384193,0.5019424552329218,0.5266605229856706,0.049436135505497525
homepage_featured_rolling_sum_12,0.6488673548050711,0.3857531579922757,0.5173102563986733,0.26311419681279535
center_orders_median,0.46337633844588977,0.48006872584516685,0.4717225321455283,0.016692387399277087
emailer_for_promotion_rolling_sum_3,0.10529354085651368,0.8127397924173599,0.4590166666369368,0.7074462515608463
center_type_TYPE_C,0.3330601137721198,0.5831361151617773,0.4580981144669486,0.2500760013896575
category_Pizza,0.3841501282383731,0.5011805701158509,0.442665349177112,0.11703044187747785
homepage_featured_rolling_mean_20,0.5325257974906752,0.31430654906800803,0.4234161732793416,0.21821924842266716
emailer_for_promotion_rolling_mean_3,0.5760157058984664,0.2608987019037007,0.41845720390108354,0.3151170039947657
num_orders_rolling_std_2,0.5407432238401343,0.2752504692432932,0.40799684654171375,0.2654927545968411
homepage_featured_rolling_mean_2,0.35350988727207366,0.45495629515847613,0.4042330912152749,0.10144640788640247
category_Rice Bowl,0.2693090561839796,0.5114397420376131,0.39037439911079636,0.2421306858536335
rolling_mean_2_x_weekofyear,0.4209811741271906,0.3457418223005807,0.38336149821388565,0.0752393518266099
homepage_featured_rolling_sum_3,0.1937427255671994,0.5465401087975786,0.370141417182389,0.35279738323037924
category_Other Snacks,0.3413658184222961,0.352086125853029,0.34672597213766254,0.010720307430732934
month_cos,0.3448206059156092,0.32391993987641365,0.3343702728960114,0.020900666039195548
month_centered_sq,0.33121919223412566,0.3031722178171768,0.3171957050256512,0.028046974416948867
emailer_for_promotion_rolling_mean_2,0.2937131477212007,0.3335536487362284,0.31363339822871455,0.039840501015027674
