number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_use_base_price,params_use_category_Beverages,params_use_category_Extras,params_use_category_Pasta,params_use_category_Pizza,params_use_category_Rice Bowl,params_use_category_Salad,params_use_category_Sandwich,params_use_center_id,params_use_center_id_orders_mean,params_use_center_id_orders_median,params_use_center_id_orders_std,params_use_center_type_TYPE_A,params_use_center_type_TYPE_B,params_use_center_type_TYPE_C,params_use_checkout_price,params_use_cuisine_Continental,params_use_cuisine_Indian,params_use_cuisine_Italian,params_use_cuisine_Thai,params_use_demand_pct_change_1,params_use_emailer_for_promotion,params_use_emailer_for_promotion_rolling_sum_3,params_use_homepage_featured,params_use_homepage_featured_rolling_sum_3,params_use_is_holiday_week,params_use_lag1_x_emailer,params_use_lag1_x_home,params_use_meal_id,params_use_meal_id_orders_mean,params_use_meal_id_orders_median,params_use_meal_id_orders_std,params_use_num_orders_lag_1,params_use_num_orders_lag_10,params_use_num_orders_lag_2,params_use_num_orders_lag_3,params_use_num_orders_lag_5,params_use_price_diff,params_use_price_diff_x_emailer,params_use_price_diff_x_home,params_use_rolling_mean_10,params_use_rolling_mean_3,params_use_rolling_mean_5,params_use_rolling_std_10,params_use_rolling_std_3,params_use_rolling_std_5,params_use_rolling_volatility_10,params_use_rolling_volatility_5,params_use_seasonal_regime,params_use_weekofyear,params_use_weekofyear_cos,params_use_weekofyear_sin,params_use_weeks_since_emailer_for_promotion,params_use_weeks_since_homepage_featured,params_use_weeks_to_next_holiday,state
32,0.128459642405968,2025-04-26 01:13:33.044985,2025-04-26 01:13:37.941643,0 days 00:00:04.896658,0.9735427663246328,7,0.8540587247757507,1.7726687249642352,1.6273225625728085,0.0526377928667457,9,38,120,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
33,0.11386887088232985,2025-04-26 01:13:37.957271,2025-04-26 01:13:42.592660,0 days 00:00:04.635389,0.9474913592817485,3,0.8695601776634884,1.3029392210273618,5.435394603494611,0.06288802820278103,10,41,118,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
34,0.13107962475287296,2025-04-26 01:13:42.608623,2025-04-26 01:13:46.772136,0 days 00:00:04.163513,0.9229486334197273,3,0.9824694253191035,0.8345116374801677,6.400655666364342,0.04198812847296115,10,34,107,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
35,0.6249517130222244,2025-04-26 01:13:46.787928,2025-04-26 01:13:50.642884,0 days 00:00:03.854956,0.8842052686627623,4,0.871965404788366,4.900068303571315,3.1135231897140248,0.03149032731831685,10,31,116,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,COMPLETE
36,0.43316349957454464,2025-04-26 01:13:50.658372,2025-04-26 01:13:55.083294,0 days 00:00:04.424922,0.9386746728408576,2,0.7847555458285783,2.730067338869315,0.009244796177390541,0.06727139912265956,10,45,127,True,False,True,False,True,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,COMPLETE
37,0.5572842744511545,2025-04-26 01:13:55.098644,2025-04-26 01:13:59.156077,0 days 00:00:04.057433,0.9803743856111726,3,0.7128323768166072,0.009653952854653383,0.003655946427076145,0.0778192035699652,8,50,99,False,True,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,True,False,False,True,True,COMPLETE
38,0.36383561976742024,2025-04-26 01:13:59.172197,2025-04-26 01:14:03.432350,0 days 00:00:04.260153,0.7531988423457876,5,0.9850125592314848,1.7935740946820216,0.8447617470247656,0.04163111902752773,9,39,122,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True,False,True,True,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,COMPLETE
39,0.16290107134574253,2025-04-26 01:14:03.447985,2025-04-26 01:14:08.119841,0 days 00:00:04.671856,0.7798596536764508,2,0.7409854736182341,0.2722498577698542,6.650431484348603,0.09775145593330221,10,42,114,False,False,True,False,False,True,True,True,False,True,False,True,False,True,False,True,True,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,COMPLETE
40,0.6171363517995562,2025-04-26 01:14:08.135038,2025-04-26 01:14:11.082459,0 days 00:00:02.947421,0.9259013662903213,4,0.8328542178394882,0.12585615374724393,1.9075638519795015,0.058098203750041696,5,30,123,True,True,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,COMPLETE
41,0.1271461190695509,2025-04-26 01:14:11.098218,2025-04-26 01:14:15.382868,0 days 00:00:04.284650,0.9510775287717178,2,0.8015929577141986,1.4506836790452984,3.0248529566421825,0.06482178621181865,9,40,119,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
42,0.12152994537904871,2025-04-26 01:14:15.398723,2025-04-26 01:14:19.585880,0 days 00:00:04.187157,0.9769542985065861,5,0.8574719846637855,0.7539793307732061,3.792743943658489,0.05610611484800545,10,36,118,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
43,0.14146520770287016,2025-04-26 01:14:19.601411,2025-04-26 01:14:22.982283,0 days 00:00:03.380872,0.9865602318101281,1,0.841975035413164,1.2401012302699443,6.73480253236031,0.04888175044504677,9,44,108,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
44,0.18742253906117615,2025-04-26 01:14:22.998011,2025-04-26 01:14:27.435222,0 days 00:00:04.437211,0.9443623701397961,4,0.911243311313374,2.1724204191625307,1.7966969269469943,0.03619013983076538,10,48,128,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
45,0.2162175699253163,2025-04-26 01:14:27.451124,2025-04-26 01:14:31.522899,0 days 00:00:04.071775,0.9609691763817175,6,0.8228260236383903,0.5517504634421042,9.971781318922444,0.043718563662414486,9,40,93,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,COMPLETE
46,0.09908217393551923,2025-04-26 01:14:31.538266,2025-04-26 01:14:35.576564,0 days 00:00:04.038298,0.8666252809591104,4,0.870523719056309,5.589820261320959,0.7215567757234854,0.0820882213745126,10,33,123,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,COMPLETE
47,0.1786582897243779,2025-04-26 01:14:35.592823,2025-04-26 01:14:39.051805,0 days 00:00:03.458982,0.8138727579965557,4,0.9445531982910966,3.4440133851426578,0.710814894917114,0.1656633447266105,10,29,45,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,False,False,True,True,True,True,True,COMPLETE
48,0.44936647544822444,2025-04-26 01:14:39.067520,2025-04-26 01:14:43.176389,0 days 00:00:04.108869,0.8957147140720482,3,0.8998693902281035,9.848511267893972,0.06854868984288262,0.08487882108225518,8,26,124,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,COMPLETE
49,0.579084180529364,2025-04-26 01:14:43.191781,2025-04-26 01:14:46.618427,0 days 00:00:03.426646,0.8531530827826248,4,0.8679640055295493,6.39464997008648,0.18414286031017696,0.11793881882452019,10,33,101,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,COMPLETE
50,0.680881601461492,2025-04-26 01:14:46.633717,2025-04-26 01:14:48.841759,0 days 00:00:02.208042,0.9132649207219455,4,0.9625585796899174,4.874252860732023,6.163068902800346,0.07259110771891882,3,35,111,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,COMPLETE
