number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
24,0.47216421697653904,2025-04-25 14:50:59.025658,2025-04-25 14:51:38.278924,0 days 00:00:39.253266,0.6578787493218419,4,0.7477941607604153,0.0011853861162752443,0.008062591589855318,0.014571264323619522,10,30,86,COMPLETE
25,0.4744317850385018,2025-04-25 14:51:38.294933,2025-04-25 14:52:08.744613,0 days 00:00:30.449680,0.7824086332785027,4,0.7490857402153317,0.00035841501704930533,0.009780706218138284,0.01239146027898369,7,39,79,COMPLETE
26,0.47166739541351166,2025-04-25 14:52:08.761159,2025-04-25 14:52:37.829168,0 days 00:00:29.068009,0.7182003811812601,2,0.7783286639483731,7.880437822296124,0.045238587842181086,0.020863957849607064,9,31,48,COMPLETE
27,0.473364742101754,2025-04-25 14:52:37.844659,2025-04-25 14:53:06.367616,0 days 00:00:28.522957,0.7425328677488534,2,0.7952889170110008,9.878276863445874,0.0435577101264831,0.021068108202276146,7,11,49,COMPLETE
28,0.4798328840989265,2025-04-25 14:53:06.384093,2025-04-25 14:53:27.137254,0 days 00:00:20.753161,0.7854193275075638,1,0.8556391500060828,1.155855932595983,0.10880594875453746,0.029090131204066255,3,17,43,COMPLETE
29,0.4734372813011581,2025-04-25 14:53:27.153710,2025-04-25 14:53:52.067076,0 days 00:00:24.913366,0.7156357866850671,3,0.7073411317397436,8.07570429935324,0.027748073979817104,0.02358093984706547,8,15,28,COMPLETE
30,0.4731875237528612,2025-04-25 14:53:52.083567,2025-04-25 14:54:19.079924,0 days 00:00:26.996357,0.6784703795134049,3,0.7719202272503216,1.165875091345695,0.2684327781569179,0.020918538506975254,9,30,49,COMPLETE
31,0.47350788505876945,2025-04-25 14:54:19.096290,2025-04-25 14:54:49.351797,0 days 00:00:30.255507,0.7329861878336326,2,0.7315866666156711,0.0012597486864001002,0.8290400195219704,0.01588919320660144,10,31,56,COMPLETE
32,0.4743355644814488,2025-04-25 14:54:49.368192,2025-04-25 14:55:18.502027,0 days 00:00:29.133835,0.6691352171547394,4,0.7618073988704479,0.0002899016369400752,0.009676705138522295,0.010081814786793137,10,40,66,COMPLETE
33,0.473318654542995,2025-04-25 14:55:18.518284,2025-04-25 14:55:41.061260,0 days 00:00:22.542976,0.6371065719872866,3,0.8222096331571516,0.07708530511656377,9.294460037517545,0.026884092861332143,9,10,87,COMPLETE
34,0.47336090568962014,2025-04-25 14:55:41.077618,2025-04-25 14:56:10.435983,0 days 00:00:29.358365,0.6892314880401001,2,0.6968230512214657,3.131955649253335,0.04185629349642456,0.013995153303386932,11,25,54,COMPLETE
35,0.4725571312488785,2025-04-25 14:56:10.452235,2025-04-25 14:56:38.925942,0 days 00:00:28.473707,0.8971732921523838,1,0.6655152150634039,0.00017851751568535572,0.15048685989480076,0.03224493690222353,8,34,40,COMPLETE
36,0.47245336944791644,2025-04-25 14:56:38.942328,2025-04-25 14:57:06.488193,0 days 00:00:27.545865,0.7275084103527975,5,0.851749629908183,0.4426052951032836,0.0003242553718514133,0.0189835301813016,12,28,95,COMPLETE
37,0.4716848613475402,2025-04-25 14:57:06.504533,2025-04-25 14:57:43.329984,0 days 00:00:36.825451,0.7754970451004556,2,0.7199103640858278,0.029882017596434045,1.130579208313343,0.013146225722945812,10,22,100,COMPLETE
38,0.4742215766606232,2025-04-25 14:57:43.345578,2025-04-25 14:58:12.976342,0 days 00:00:29.630764,0.8014280022926598,2,0.6211714081594095,0.14112507289478546,1.691471028341988,0.017724516792653404,11,20,33,COMPLETE
39,0.4734997126754716,2025-04-25 14:58:12.992036,2025-04-25 14:58:44.082629,0 days 00:00:31.090593,0.8445569973349302,1,0.7234938700812075,0.035953331939642244,0.5308445909061869,0.012529887578367642,7,23,100,COMPLETE
