feature,mean_rmsle,std_rmsle,delta_vs_baseline
meal_orders_mean_x_emailer_for_promotion,0.5111081699522447,0.0030594226239352897,-0.0001473401898042237
num_orders_rolling_mean_2_x_discount_pct,0.5111130285989888,0.003167257761854981,-0.00014248154306018002
num_orders_rolling_mean_14_sq,0.5111137619480862,0.0030311564579379204,-0.00014174819396273186
category_Extras,0.5111171739099188,0.0029646609048906794,-0.0001383362321301096
category_Starters,0.5111209829457039,0.002939370543114534,-0.00013452719634510224
num_orders_rolling_mean_2_sq,0.5111224034952035,0.002928755064725134,-0.00013310664684540452
num_orders_rolling_mean_21,0.5111364900671301,0.0029109007964195363,-0.00011902007491881861
num_orders_rolling_mean_21,0.5111364900671301,0.0029109007964195363,-0.00011902007491881861
num_orders_rolling_mean_5_x_homepage_featured,0.5111365480610183,0.0029473929191410715,-0.0001189620810306824
num_orders_rolling_std_12,0.5111375516540028,0.0030036512655317997,-0.00011795848804618814
num_orders_rolling_std_12,0.5111375516540028,0.0030036512655317997,-0.00011795848804618814
center_orders_mean,0.511137857325003,0.002884434699116749,-0.00011765281704589903
center_orders_mean,0.511137857325003,0.002884434699116749,-0.00011765281704589903
center_type_TYPE_B,0.5111394053422547,0.0029070153975868213,-0.00011610479979429211
num_orders_rolling_mean_5_sq,0.5111421709009617,0.0029976901581770642,-0.00011333924108725135
num_orders_rolling_std_10,0.5111423706359347,0.0028984042007822557,-0.00011313950611424595
num_orders_rolling_std_10,0.5111423706359347,0.0028984042007822557,-0.00011313950611424595
num_orders_rolling_mean_2_x_discount_pct_x_emailer_for_promotion,0.5111424685721792,0.0029649738230789154,-0.00011304156986979841
num_orders_rolling_std_5,0.5111454536905361,0.0029252635346667245,-0.00011005645151285215
num_orders_rolling_std_5,0.5111454536905361,0.0029252635346667245,-0.00011005645151285215
category_Soup,0.5111474310980058,0.003008852237493777,-0.00010807904404319668
num_orders_rolling_mean_2_x_price_diff,0.5111481852761763,0.0029386583531475856,-0.00010732486587261558
num_orders_rolling_mean_5_x_price_diff_x_emailer_for_promotion,0.5111502855254751,0.00306250649396144,-0.00010522461657380688
weekofyear_cos,0.5111530153677747,0.0028321142886304205,-0.00010249477427426434
month_cos,0.5111565802382072,0.002889363723902194,-9.892990384174905e-05
num_orders_rolling_mean_2_x_checkout_price,0.5111615158363019,0.00302176252637218,-9.399430574708045e-05
homepage_featured,0.5111616211873209,0.0030804673338941826,-9.38889547280608e-05
emailer_for_promotion,0.5111616536181048,0.003080458241432333,-9.385652394411359e-05
checkout_price_x_emailer_for_promotion,0.5111619410770688,0.0030886102888942986,-9.356906498014794e-05
num_orders_rolling_mean_14_x_price_diff,0.5111620614284286,0.0029066373557000936,-9.344871362038099e-05
num_orders_rolling_mean_5_x_price_diff,0.5111643238971725,0.0029887509801455633,-9.118624487647331e-05
category_Fish,0.511167045810943,0.0028986554796062354,-8.846433110598628e-05
meal_orders_mean_x_price_diff,0.5111690796465841,0.003014327798544015,-8.643049546486203e-05
num_orders_rolling_std_21,0.5111699430808014,0.002947995018108846,-8.556706124751567e-05
weekofyear_sin,0.5111704598431656,0.002811112342541661,-8.505029888339344e-05
discount_pct_x_homepage_featured,0.5111724551321989,0.0030677288839736517,-8.305500985006375e-05
price_diff_x_emailer_for_promotion,0.5111733062510487,0.0029609796781502606,-8.220389100022096e-05
num_orders_rolling_mean_14,0.511174340266003,0.0027419236734251913,-8.116987604600556e-05
num_orders_rolling_mean_14,0.511174340266003,0.0027419236734251913,-8.116987604600556e-05
discount_pct_x_emailer_for_promotion,0.5111808347440403,0.0028418858449538527,-7.467539800865008e-05
num_orders_rolling_std_3,0.5111887733497833,0.0029407055849013804,-6.673679226565365e-05
price_diff_x_homepage_featured,0.5111893593963855,0.0029380120287439116,-6.615074566340695e-05
price_diff_x_homepage_featured,0.5111893593963855,0.0029380120287439116,-6.615074566340695e-05
num_orders_rolling_std_14,0.5111902027152766,0.0031337625341682817,-6.530742677235413e-05
category_Seafood,0.5111927575530507,0.0030067943476609627,-6.275258899823832e-05
is_outlier_month,0.5111928267770265,0.002952706168218959,-6.268336502246452e-05
cuisine_Indian,0.5111947680179807,0.0028412423582768816,-6.0742124068258185e-05
category_Salad,0.5111953512452575,0.0030321795765167877,-6.0158896791451255e-05
center_orders_mean_x_price_diff,0.5111970153326819,0.003020552747823812,-5.849480936703788e-05
meal_orders_mean,0.5111986476875614,0.0029802364516832713,-5.686245448754956e-05
meal_orders_mean,0.5111986476875614,0.0029802364516832713,-5.686245448754956e-05
num_orders_rolling_std_6,0.5112035711521226,0.002893059196069987,-5.193898992639223e-05
num_orders_rolling_mean_6,0.5112069547164406,0.0029933153060568746,-4.855542560833204e-05
num_orders_rolling_mean_6,0.5112069547164406,0.0029933153060568746,-4.855542560833204e-05
category_Sandwich,0.5112081702930822,0.002893502610303579,-4.733984896676535e-05
num_orders_rolling_mean_2_x_discount_pct_x_homepage_featured,0.5112133794309704,0.003007631216525097,-4.213071107850297e-05
num_orders_rolling_mean_2_x_discount_pct_x_homepage_featured,0.5112133794309704,0.003007631216525097,-4.213071107850297e-05
center_orders_mean_sq,0.5112144127935846,0.003068725703433024,-4.109734846435842e-05
price_diff,0.5112148288369124,0.002960869066639803,-4.0681305136569534e-05
center_orders_mean_x_discount_pct,0.5112160721957506,0.0032045858595854577,-3.9437946298348514e-05
num_orders_rolling_mean_5_x_discount_pct_x_homepage_featured,0.5112174823172231,0.0029801953478331214,-3.8027824825870304e-05
discount_pct,0.5112277002442356,0.0030279645312408098,-2.7809897813368956e-05
cuisine_Thai,0.5112320498172999,0.0029242319819769336,-2.3460324749091654e-05
num_orders_rolling_std_4,0.5112326286591321,0.0029678635174632617,-2.2881482916847773e-05
num_orders_rolling_mean_5_x_discount_pct,0.5112331288744743,0.002919622822368001,-2.238126757470038e-05
num_orders_rolling_mean_2_x_price_diff_x_homepage_featured,0.5112354517851971,0.0030804907747441525,-2.005835685181534e-05
discount,0.5112409851866,0.003042977668276529,-1.4524955448957932e-05
discount,0.5112409851866,0.003042977668276529,-1.4524955448957932e-05
num_orders_rolling_mean_28,0.5112411351543307,0.003174572631722694,-1.437498771827972e-05
num_orders_rolling_mean_14_x_homepage_featured,0.5112519109913806,0.003153740627298659,-3.599150668387452e-06
BASELINE,0.511255510142049,0.00295957547086519,0.0
meal_orders_mean_sq,0.5112619605721032,0.0029994492391587505,6.450430054205647e-06
meal_orders_mean_x_discount_pct,0.5112627147093444,0.003097889378236452,7.2045672954157425e-06
category_Rice Bowl,0.511267257420201,0.0029811151320289714,1.1747278152007823e-05
center_orders_mean_x_homepage_featured,0.5112688967840218,0.0029540953477837657,1.3386641972812363e-05
category_Beverages,0.5112689628467617,0.003025726004372563,1.3452704712757502e-05
cuisine_Italian,0.5112690882601425,0.002883886655688254,1.357811809354903e-05
meal_orders_mean_x_checkout_price,0.511275273080979,0.0028453840773621586,1.9762938930023566e-05
num_orders_rolling_mean_3,0.5112823219378045,0.003046468582870242,2.6811795755588008e-05
num_orders_rolling_mean_3,0.5112823219378045,0.003046468582870242,2.6811795755588008e-05
num_orders_rolling_mean_8,0.5112979115867656,0.0030141328996801113,4.2401444716677616e-05
num_orders_rolling_mean_8,0.5112979115867656,0.0030141328996801113,4.2401444716677616e-05
meal_orders_std,0.5113204303176236,0.002938754809407229,6.492017557468976e-05
num_orders_rolling_std_8,0.5113228156245517,0.0030170960229769553,6.730548250277746e-05
is_outlier_weekofyear,0.5113577235505617,0.0029762205471438145,0.00010221340851279681
num_orders_rolling_mean_12,0.5113582778619602,0.0030215281848523373,0.00010276771991124534
num_orders_rolling_mean_12,0.5113582778619602,0.0030215281848523373,0.00010276771991124534
cuisine_Continental,0.5113583696394332,0.0028914942843117765,0.00010285949738420008
meal_orders_mean_cube,0.5113650393036918,0.002949049974770033,0.00010952916164286286
meal_orders_mean_cube,0.5113650393036918,0.002949049974770033,0.00010952916164286286
center_type_TYPE_C,0.5114075981415429,0.002894092194426262,0.00015208799949395502
num_orders_rolling_std_2,0.5114087136657107,0.0029891829800652104,0.00015320352366177126
center_orders_mean_x_emailer_for_promotion,0.5114204871665946,0.002994238573469942,0.00016497702454565388
emailer_for_promotion_rolling_sum_3,0.5114720378732487,0.003063673138694703,0.00021652773119973379
mean_orders_by_month,0.511486644721239,0.0028602612266117604,0.00023113457918999547
base_price,0.5115238218645856,0.002906775154527403,0.0002683117225366072
base_price,0.5115238218645856,0.002906775154527403,0.0002683117225366072
homepage_featured_rolling_sum_3,0.5119672840993973,0.0030490861291051106,0.0007117739573483384
mean_orders_by_weekofyear,0.5135937897940345,0.003091492803515516,0.00233827965198552
